table_schema,table_name,ordinal_position,column_name,full_data_type,is_nullable
jdawmsrep,dlytrn,0,dlytrn_id,string,YES
jdawmsrep,dlytrn,1,trndte,timestamp,YES
jdawmsrep,dlytrn,2,oprcod,string,YES
jdawmsrep,dlytrn,3,actcod,string,YES
jdawmsrep,dlytrn,4,lodnum,string,YES
jdawmsrep,dlytrn,5,subnum,string,YES
jdawmsrep,dlytrn,6,dtlnum,string,YES
jdawmsrep,dlytrn,7,to_lodnum,string,YES
jdawmsrep,dlytrn,8,to_subnum,string,YES
jdawmsrep,dlytrn,9,to_dtlnum,string,YES
jdawmsrep,dlytrn,10,prtnum,string,YES
jdawmsrep,dlytrn,11,prt_client_id,string,YES
jdawmsrep,dlytrn,12,orgcod,string,YES
jdawmsrep,dlytrn,13,revlvl,string,YES
jdawmsrep,dlytrn,14,lotnum,string,YES
jdawmsrep,dlytrn,15,sup_lotnum,string,YES
jdawmsrep,dlytrn,16,supnum,string,YES
jdawmsrep,dlytrn,17,inv_attr_str1,string,YES
jdawmsrep,dlytrn,18,inv_attr_str2,string,YES
jdawmsrep,dlytrn,19,inv_attr_str3,string,YES
jdawmsrep,dlytrn,20,inv_attr_str4,string,YES
jdawmsrep,dlytrn,21,inv_attr_str5,string,YES
jdawmsrep,dlytrn,22,inv_attr_str6,string,YES
jdawmsrep,dlytrn,23,inv_attr_str7,string,YES
jdawmsrep,dlytrn,24,inv_attr_str8,string,YES
jdawmsrep,dlytrn,25,inv_attr_str9,string,YES
jdawmsrep,dlytrn,26,inv_attr_str10,string,YES
jdawmsrep,dlytrn,27,inv_attr_str11,string,YES
jdawmsrep,dlytrn,28,inv_attr_str12,string,YES
jdawmsrep,dlytrn,29,inv_attr_str13,string,YES
jdawmsrep,dlytrn,30,inv_attr_str14,string,YES
jdawmsrep,dlytrn,31,inv_attr_str15,string,YES
jdawmsrep,dlytrn,32,inv_attr_str16,string,YES
jdawmsrep,dlytrn,33,inv_attr_str17,string,YES
jdawmsrep,dlytrn,34,inv_attr_str18,string,YES
jdawmsrep,dlytrn,35,inv_attr_int1,int,YES
jdawmsrep,dlytrn,36,inv_attr_int2,int,YES
jdawmsrep,dlytrn,37,inv_attr_int3,int,YES
jdawmsrep,dlytrn,38,inv_attr_int4,int,YES
jdawmsrep,dlytrn,39,inv_attr_int5,int,YES
jdawmsrep,dlytrn,40,inv_attr_flt1,"decimal(19,4)",YES
jdawmsrep,dlytrn,41,inv_attr_flt2,"decimal(19,4)",YES
jdawmsrep,dlytrn,42,inv_attr_flt3,"decimal(19,4)",YES
jdawmsrep,dlytrn,43,inv_attr_dte1,timestamp,YES
jdawmsrep,dlytrn,44,inv_attr_dte2,timestamp,YES
jdawmsrep,dlytrn,45,movref,string,YES
jdawmsrep,dlytrn,46,reacod,string,YES
jdawmsrep,dlytrn,47,trnqty,int,YES
jdawmsrep,dlytrn,48,catch_qty,"decimal(19,4)",YES
jdawmsrep,dlytrn,49,traknm,string,YES
jdawmsrep,dlytrn,50,catch_unttyp,string,YES
jdawmsrep,dlytrn,51,fr_arecod,string,YES
jdawmsrep,dlytrn,52,frstol,string,YES
jdawmsrep,dlytrn,53,frinvs,string,YES
jdawmsrep,dlytrn,54,fr_age_pflnam,string,YES
jdawmsrep,dlytrn,55,to_arecod,string,YES
jdawmsrep,dlytrn,56,tostol,string,YES
jdawmsrep,dlytrn,57,toinvs,string,YES
jdawmsrep,dlytrn,58,to_age_pflnam,string,YES
jdawmsrep,dlytrn,59,trlr_num,string,YES
jdawmsrep,dlytrn,60,trct_num,string,YES
jdawmsrep,dlytrn,61,carcod,string,YES
jdawmsrep,dlytrn,62,ship_id,string,YES
jdawmsrep,dlytrn,63,client_id,string,YES
jdawmsrep,dlytrn,64,ordnum,string,YES
jdawmsrep,dlytrn,65,trndtl_id,string,YES
jdawmsrep,dlytrn,66,trndtl_table,string,YES
jdawmsrep,dlytrn,67,adj_ref1,string,YES
jdawmsrep,dlytrn,68,adj_ref2,string,YES
jdawmsrep,dlytrn,69,usr_id,string,YES
jdawmsrep,dlytrn,70,devcod,string,YES
jdawmsrep,dlytrn,71,arcdte,timestamp,YES
jdawmsrep,dlytrn,72,arc_src,string,YES
jdawmsrep,dlytrn,73,cmnt,string,YES
jdawmsrep,dlytrn,74,asset_typ,string,YES
jdawmsrep,dlytrn,75,asset_id,string,YES
jdawmsrep,dlytrn,76,asset_stat,string,YES
jdawmsrep,dlytrn,77,load_attr1_flg,int,YES
jdawmsrep,dlytrn,78,load_attr2_flg,int,YES
jdawmsrep,dlytrn,79,load_attr3_flg,int,YES
jdawmsrep,dlytrn,80,load_attr4_flg,int,YES
jdawmsrep,dlytrn,81,load_attr5_flg,int,YES
jdawmsrep,dlytrn,82,var_nam,string,YES
jdawmsrep,dlytrn,83,fr_value,string,YES
jdawmsrep,dlytrn,84,to_value,string,YES
jdawmsrep,dlytrn,85,wh_id,string,YES
jdawmsrep,dlytrn,86,uomcod,string,YES
jdawmsrep,dlytrn,87,ftpcod,string,YES
jdawmsrep,dlytrn,88,distro_excp_id,string,YES
jdawmsrep,dlytrn,89,excp_code,string,YES
jdawmsrep,dlytrn,90,expqty,int,YES
jdawmsrep,dlytrn,91,rptqty,int,YES
jdawmsrep,dlytrn,92,u_version,int,YES
jdawmsrep,dlytrn,93,ins_dt,timestamp,YES
jdawmsrep,dlytrn,94,last_upd_dt,timestamp,YES
jdawmsrep,dlytrn,95,ins_user_id,string,YES
jdawmsrep,dlytrn,96,last_upd_user_id,string,YES
jdawmsrep,dlytrn,97,to_trct_num,string,YES
jdawmsrep,dlytrn,98,to_trlr_num,string,YES
jdawmsrep,dlytrn,99,to_carcod,string,YES
jdawmsrep,dlytrn,100,srvlvl,string,YES
jdawmsrep,dlytrn,101,to_srvlvl,string,YES
jdawmsrep,dlytrn,102,rowid,int,YES
jdawmsrep,dlytrn,103,_rescued_data,string,YES
jdawmsrep,dlytrn,104,loaddate,timestamp,YES
jdawmsrep,inv_snap,0,inv_snap_id,string,YES
jdawmsrep,inv_snap,1,prtnum,string,YES
jdawmsrep,inv_snap,2,prt_client_id,string,YES
jdawmsrep,inv_snap,3,gendte,timestamp,YES
jdawmsrep,inv_snap,4,rcvqty,int,YES
jdawmsrep,inv_snap,5,shpqty,int,YES
jdawmsrep,inv_snap,6,adjqty,int,YES
jdawmsrep,inv_snap,7,wko_cnsqty,int,YES
jdawmsrep,inv_snap,8,wko_rcvqty,int,YES
jdawmsrep,inv_snap,9,on_hand_qty,int,YES
jdawmsrep,inv_snap,10,shippable_qty,int,YES
jdawmsrep,inv_snap,11,ordered_qty,int,YES
jdawmsrep,inv_snap,12,planned_qty,int,YES
jdawmsrep,inv_snap,13,wko_ordered_qty,int,YES
jdawmsrep,inv_snap,14,pnd_rcvqty,int,YES
jdawmsrep,inv_snap,15,wh_id,string,YES
jdawmsrep,inv_snap,16,snap_gen_num,string,YES
jdawmsrep,inv_snap,17,moddte,timestamp,YES
jdawmsrep,inv_snap,18,mod_usr_id,string,YES
jdawmsrep,inv_snap,19,u_version,int,YES
jdawmsrep,inv_snap,20,ins_dt,timestamp,YES
jdawmsrep,inv_snap,21,last_upd_dt,timestamp,YES
jdawmsrep,inv_snap,22,ins_user_id,string,YES
jdawmsrep,inv_snap,23,last_upd_user_id,string,YES
jdawmsrep,inv_snap,24,rowid,int,YES
jdawmsrep,inv_snap,25,_rescued_data,string,YES
jdawmsrep,inv_snap,26,loaddate,timestamp,YES
jdawmsrep,invdtl,0,dtlnum,string,YES
jdawmsrep,invdtl,1,subnum,string,YES
jdawmsrep,invdtl,2,prtnum,string,YES
jdawmsrep,invdtl,3,prt_client_id,string,YES
jdawmsrep,invdtl,4,invsts,string,YES
jdawmsrep,invdtl,5,fifdte,timestamp,YES
jdawmsrep,invdtl,6,expire_dte,timestamp,YES
jdawmsrep,invdtl,7,untqty,int,YES
jdawmsrep,invdtl,8,untcas,int,YES
jdawmsrep,invdtl,9,untpak,int,YES
jdawmsrep,invdtl,10,ftpcod,string,YES
jdawmsrep,invdtl,11,rcvkey,string,YES
jdawmsrep,invdtl,12,ship_line_id,string,YES
jdawmsrep,invdtl,13,wrkref,string,YES
jdawmsrep,invdtl,14,wrkref_dtl,string,YES
jdawmsrep,invdtl,15,adddte,timestamp,YES
jdawmsrep,invdtl,16,rcvdte,timestamp,YES
jdawmsrep,invdtl,17,lstmov,timestamp,YES
jdawmsrep,invdtl,18,lstdte,timestamp,YES
jdawmsrep,invdtl,19,lstcod,string,YES
jdawmsrep,invdtl,20,lst_usr_id,string,YES
jdawmsrep,invdtl,21,alcflg,int,YES
jdawmsrep,invdtl,22,catch_qty,"decimal(19,4)",YES
jdawmsrep,invdtl,23,lst_mov_zone_id,int,YES
jdawmsrep,invdtl,24,hld_flg,int,YES
jdawmsrep,invdtl,25,loaddate,timestamp,YES
jdawmsrep,invlod,0,lodnum,string,YES
jdawmsrep,invlod,1,wh_id,string,YES
jdawmsrep,invlod,2,stoloc,string,YES
jdawmsrep,invlod,3,lodwgt,"decimal(19,4)",YES
jdawmsrep,invlod,4,prmflg,int,YES
jdawmsrep,invlod,5,unkflg,int,YES
jdawmsrep,invlod,6,mvlflg,int,YES
jdawmsrep,invlod,7,adddte,timestamp,YES
jdawmsrep,invlod,8,lstmov,timestamp,YES
jdawmsrep,invlod,9,lstdte,timestamp,YES
jdawmsrep,invlod,10,lstcod,string,YES
jdawmsrep,invlod,11,lst_usr_id,string,YES
jdawmsrep,invlod,12,loducc,string,YES
jdawmsrep,invlod,13,uccdte,timestamp,YES
jdawmsrep,invlod,14,palpos,string,YES
jdawmsrep,invlod,15,asset_typ,string,YES
jdawmsrep,invlod,16,avg_unt_catch_qty,"decimal(19,4)",YES
jdawmsrep,invlod,17,u_version,int,YES
jdawmsrep,invlod,18,ins_dt,timestamp,YES
jdawmsrep,invlod,19,last_upd_dt,timestamp,YES
jdawmsrep,invlod,20,ins_user_id,string,YES
jdawmsrep,invlod,21,last_upd_user_id,string,YES
jdawmsrep,invlod,22,lodtag,string,YES
jdawmsrep,invlod,23,lod_tagsts,string,YES
jdawmsrep,invlod,24,lodhgt,"decimal(19,4)",YES
jdawmsrep,invlod,25,bundled_flg,int,YES
jdawmsrep,invlod,26,distro_palopn_flg,int,YES
jdawmsrep,invlod,27,load_attr1_flg,int,YES
jdawmsrep,invlod,28,load_attr2_flg,int,YES
jdawmsrep,invlod,29,load_attr3_flg,int,YES
jdawmsrep,invlod,30,load_attr4_flg,int,YES
jdawmsrep,invlod,31,load_attr5_flg,int,YES
jdawmsrep,invlod,32,no_loc_putaway,int,YES
jdawmsrep,invlod,33,completed_receiving_date,timestamp,YES
jdawmsrep,invlod,34,est_time,int,YES
jdawmsrep,invlod,35,lodlen,"decimal(19,4)",YES
jdawmsrep,invlod,36,lodwdt,"decimal(19,4)",YES
jdawmsrep,invlod,37,no_of_boxes,int,YES
jdawmsrep,invlod,38,est_lodwgt,"decimal(19,4)",YES
jdawmsrep,invlod,39,loaddate,timestamp,YES
jdawmsrep,invsub,0,subnum,string,YES
jdawmsrep,invsub,1,lodnum,string,YES
jdawmsrep,invsub,2,subwgt,"decimal(19,4)",YES
jdawmsrep,invsub,3,prmflg,int,YES
jdawmsrep,invsub,4,phyflg,int,YES
jdawmsrep,invsub,5,mvsflg,int,YES
jdawmsrep,invsub,6,ctnflg,int,YES
jdawmsrep,invsub,7,idmflg,int,YES
jdawmsrep,invsub,8,distro_ctnopn_flg,int,YES
jdawmsrep,invsub,9,wrkref,string,YES
jdawmsrep,invsub,10,tagdev,string,YES
jdawmsrep,invsub,11,adddte,timestamp,YES
jdawmsrep,invsub,12,lstmov,timestamp,YES
jdawmsrep,invsub,13,lstdte,timestamp,YES
jdawmsrep,invsub,14,lstcod,string,YES
jdawmsrep,invsub,15,lst_usr_id,string,YES
jdawmsrep,invsub,16,subucc,string,YES
jdawmsrep,invsub,17,uccdte,timestamp,YES
jdawmsrep,invsub,18,subtag,string,YES
jdawmsrep,invsub,19,sub_tagsts,string,YES
