activity_type_code,activity_name
1,Selecting Customers
2,Search for keyword
3,"Catalog Access (Category, Layout, Visits)"
4,View item details
5,Page Access (title)
6,Full Download
7,Sync catalog data
8,background update
9,Send Order
10,Battery condition
11,Enlarge product picture record table
12,enter the catalog event method
13,Non-Activity
14,Scan barcode
15,Add item
99,Button operation event
101,Sign in
105,Switch Customer Account main button
106,Change Customer - Account Top Right Button
107,Confirm to switch customers
108,Customer List - Search for Customers
109,Proactively withdraw (log out of the account)
203,Login - Download Pop up Sync Data - Skip
204,Login - Download Pop up Full Download - Skip
208,Switch customers - Download pop-up full Download - Skip
211,Settings - Full Download Button
