abbreviation,expansion,occurrences,evidence,is_active
SCE,SAUCE,29,LKK PREMIUM OYSTER SCE18OZ(12) / MAEKRUA OYSTER SCE(THAI) (M),true
GRN,GREEN,13,DF PEEL STRAW MSHRM alongside GREEN spellings in the same families,true
COCONT,COCONUT,8,DF COCONT MILK (CURRY)(M),true
PWDR,POWDER,7,DF PAPAYA SALAD SEASONING PWDR,true
PSTE,PASTE,7,co-occurs with PASTE across the same curry/soup families,true
SHRMP,SHRIMP,4,co-occurs with SHRIMP across the same families,true
SWT,SWEET,4,co-occurs with SWEET across the same families,true
CRM,CREAM,3,co-occurs with CREAM across the same families,true
WHT,WHITE,3,co-occurs with WHITE across the same families,true
WHTE,WHITE,3,second spelling of the same abbreviation,true
MSHRM,MUSHROOM,3,FZ BRAISED KING OYSTER MSHRM / DF PEEL STRAW MSHRM (BLUE),true
PLSTIC,PLASTIC,3,DF OYSTER SAUCE (XL)(PLSTIC),true
SHT,SHOOT,1,TAS RATTAN SHT/BBS/BAI/CHILI — rattan shoot; BAMBOO SHOOT is spelled out elsewhere,true
WRPPR,WRAPPER,1,DF SPRING ROLL WRPPR 16CM,true
SSNG,SEASONING,1,LOBO BRAISED BEEF SSNG PASTE,true
NDL,NOODLE,1,NS BOWL NDL SAVORY BEEF,true
CRY,CURRY,1,DF E THAI STYLE OYSTER MR CRY,true
FLR,FLOUR,1,MR.HUNG FRUIT & VEG BATTER FLR,true
VEG,VEGETABLE,6,DF CURRY STYLE MIXED VEG EISAN,true
