description_code,log_level,notes
02010200,WARN,
02020200,WARN,
02030102,WARN,
02030202,WARN,
03010200,WARN,
03020200,WARN,
03050200,WARN,
03060200,WARN,
03070200,WARN,
03080200,WARN,
03100200,WARN,
03110300,WARN,
04010200,WARN,
04020200,WARN,
04030200,WARN,
04040200,WARN,
04050200,WARN,
05010200,WARN,
05020200,WARN,
06010200,WARN,
06020200,WARN,
06030200,WARN,
07010200,WARN,
07020200,WARN,
13010200,WARN,
13020200,WARN,
17040102,WARN,
17040202,WARN,
17040302,WARN,
17040402,WARN,
17040502,WARN,
20010200,WARN,
20020402,WARN,
